,Date,High,Low,Open,Close,NClose
126,2021-02-01,6090.0,5900.0,5940.0,5990.0,28091.05078125
127,2021-02-02,6160.0,6010.0,6090.0,6150.0,28362.169921875
128,2021-02-03,6180.0,5980.0,6160.0,6040.0,28646.5
129,2021-02-04,6010.0,5800.0,5970.0,5890.0,28341.94921875
130,2021-02-05,5950.0,5680.0,5950.0,5820.0,28779.189453125
131,2021-02-08,5890.0,5590.0,5700.0,5870.0,29388.5
132,2021-02-09,5720.0,5430.0,5570.0,5720.0,29505.9296875
133,2021-02-10,5540.0,5380.0,5500.0,5440.0,29562.9296875
134,2021-02-12,5490.0,5370.0,5470.0,5470.0,29520.0703125
135,2021-02-15,5630.0,5480.0,5500.0,5630.0,30084.150390625
136,2021-02-16,5850.0,5680.0,5730.0,5770.0,30467.75
137,2021-02-17,5800.0,5570.0,5780.0,5680.0,30292.189453125
138,2021-02-18,5670.0,5520.0,5610.0,5590.0,30236.08984375
139,2021-02-19,5800.0,5500.0,5520.0,5780.0,30017.919921875
140,2021-02-22,5980.0,5790.0,5860.0,5840.0,30156.029296875
141,2021-02-24,5780.0,5510.0,5750.0,5510.0,29671.69921875
142,2021-02-25,5710.0,5510.0,5670.0,5590.0,30168.26953125
143,2021-02-26,5470.0,5260.0,5370.0,5260.0,28966.009765625
144,2021-03-01,5470.0,5320.0,5390.0,5350.0,29663.5
145,2021-03-02,5560.0,5370.0,5490.0,5400.0,29408.169921875
146,2021-03-03,5420.0,5260.0,5400.0,5330.0,29559.099609375
147,2021-03-04,5300.0,5090.0,5200.0,5190.0,28930.109375
148,2021-03-05,5370.0,5110.0,5160.0,5340.0,28864.3203125
149,2021-03-08,5450.0,5260.0,5440.0,5290.0,28743.25
150,2021-03-09,5320.0,5060.0,5200.0,5210.0,29027.939453125
151,2021-03-10,5440.0,5220.0,5360.0,5260.0,29036.560546875
152,2021-03-11,5300.0,5170.0,5210.0,5260.0,29211.640625
153,2021-03-12,5500.0,5320.0,5360.0,5480.0,29717.830078125
154,2021-03-15,5480.0,5320.0,5440.0,5400.0,29766.970703125
155,2021-03-16,5600.0,5450.0,5460.0,5560.0,29921.08984375
156,2021-03-17,5640.0,5480.0,5550.0,5530.0,29914.330078125
157,2021-03-18,5740.0,5570.0,5630.0,5670.0,30216.75
158,2021-03-19,5560.0,5450.0,5500.0,5520.0,29792.05078125
159,2021-03-22,5520.0,5410.0,5500.0,5500.0,29174.150390625
160,2021-03-23,5590.0,5420.0,5520.0,5420.0,28995.919921875
161,2021-03-24,5520.0,5390.0,5410.0,5430.0,28405.51953125
162,2021-03-25,5500.0,5370.0,5460.0,5380.0,28729.880859375
163,2021-03-26,5480.0,5380.0,5420.0,5440.0,29176.69921875
164,2021-03-29,5560.0,5400.0,5520.0,5430.0,29384.51953125
165,2021-03-30,5430.0,5330.0,5430.0,5370.0,29432.69921875
166,2021-03-31,5360.0,5200.0,5350.0,5200.0,29178.80078125
167,2021-04-01,5360.0,5240.0,5290.0,5330.0,29388.869140625
168,2021-04-02,5600.0,5400.0,5410.0,5570.0,29854.0
169,2021-04-05,5640.0,5510.0,5630.0,5510.0,30089.25
